generation,best_fitness,avg_fitness,stdev
0,-835,-1014.9933333333333,23.777439353770266
1,-912,-1011.7,25.36421363522498
2,-930,-1017.22,28.89910494577063
3,-903,-1009.58,24.33687736748494
4,-908,-1009.0333333333333,22.213034211671516
5,-927,-1011.1666666666666,17.349127419620356
6,-911,-1009.7066666666667,22.539312816104704
7,-909,-1007.1,25.513591149294026
8,-910,-1017.4866666666667,28.06367442481866
9,-920,-1011.3133333333334,26.32315499496384
10,-911,-1014.9133333333333,20.133533111591596
11,-919,-1008.9133333333333,21.02631261591585
12,-920,-1011.3466666666667,24.741863758056333
13,-921,-1009.8733333333333,17.039677879062804
14,-931,-1007.36,17.614115551644
15,-1000,-1011.5933333333334,16.36993042814239
16,-917,-1010.1266666666667,17.176455461538712
17,-905,-1004.6266666666667,21.37679323212184
18,-912,-1009.3133333333334,21.313575225402428
19,-915,-1010.4866666666667,19.558369620758846
20,-902,-1010.0933333333334,20.476115082917705
21,-921,-1010.4466666666667,21.117618763066577
22,-941,-1008.9333333333333,16.95864250332425
23,-920,-1010.4533333333334,24.800695330754095
24,-923,-1007.3733333333333,18.985098249826244
25,-910,-1005.92,25.391473634535966
26,-915,-1009.6066666666667,40.79589794193637
27,-924,-1011.5533333333333,23.366225388129962
28,-932,-1011.3066666666666,19.36007805310251
29,-916,-1007.64,42.3994150903052
30,-915,-1006.7333333333333,19.48526508815202
31,-906,-1007.92,23.090119098869977
32,-919,-1009.2266666666667,17.42111617804349
33,-925,-1009.6,20.362383619475082
34,-813,-1003.54,29.950988854015044
35,-920,-1005.0,24.917463755366434
36,-819,-1001.38,40.314872359134824
37,-873,-1005.2733333333333,32.36807000047356
38,-911,-1008.2,41.1368447987932
39,-905,-1001.5,32.59299515744654
40,-515,-995.7666666666667,60.46535279719196
41,-829,-1003.4733333333334,40.874392418182275
42,-835,-1002.3733333333333,36.898879236216494
43,-816,-998.1,43.60974661701207
44,-776,-1000.9933333333333,81.29915921391124
45,-825,-995.7133333333334,47.80158109890882
46,-681,-986.7933333333333,62.640061373604084
47,-732,-991.7,54.39825364843986
48,-694,-992.3466666666667,87.7254038969835
49,-772,-980.84,52.18774824292255
50,-764,-984.4466666666667,50.275711387861605
51,-774,-985.6333333333333,56.95909838549842
52,-267,-975.3266666666667,89.41316060227875
53,-576,-982.8,73.31884705403742
54,-685,-968.4733333333334,73.09105706050653
55,-759,-985.5,56.162235235669414
56,-683,-973.2866666666666,64.013991873305
57,-649,-977.8266666666667,81.75033102209568
58,-702,-972.2466666666667,70.03008274226785
59,-23,-973.8066666666666,110.29504048485386
60,-516,-979.3933333333333,85.40693934856166
61,-431,-963.5,84.0664618025524
62,-173,-967.6666666666666,91.76808934603702
63,-672,-972.8533333333334,90.90298027139826
64,-569,-983.1,77.16620590215207
65,-20,-956.9066666666666,128.16506787039205
66,1752,-927.34,254.68885147698688
67,1272,-924.8866666666667,237.31488327161912
68,306,-912.64,188.71740001035062
69,333,-900.2533333333333,223.91978285885236
70,1086,-865.6133333333333,286.3670089626636
71,939,-897.4666666666667,236.75339256046342
72,230,-881.32,230.16143088420935
73,1647,-794.34,420.1121251919936
74,622,-800.22,357.4288716187692
75,1003,-790.3933333333333,337.8642705124189
76,3048,-811.32,512.5817699970739
77,2173,-783.6066666666667,496.9045098965752
78,1728,-776.0666666666667,431.9909824161716
79,1248,-806.28,392.46098948388067
80,1302,-729.6333333333333,455.0172511992143
81,1046,-815.1133333333333,373.2303942011631
82,825,-836.9266666666666,304.19147690594866
83,897,-842.7933333333333,327.8881170291003
84,1772,-771.3,425.68704858538206
85,847,-806.9266666666666,362.00825214658056
86,1226,-736.3866666666667,451.0831081839454
87,1272,-754.4133333333333,482.6264834101925
88,1021,-757.16,374.4670894306557
89,1272,-738.0133333333333,453.33896055330996
90,587,-812.3066666666666,354.38886262911194
91,614,-807.4666666666667,335.98046900907144
92,1766,-768.1933333333334,390.2203769951311
93,1271,-742.4866666666667,470.7081294768082
94,1591,-716.4933333333333,542.5917771420999
